date,etp_pc
2024-04-01,0.97
2024-04-02,0.85
2024-04-03,1.13
2024-04-04,1.15
2024-04-05,1.24
2024-04-08,1.11
2024-04-09,1.08
2024-04-10,1.21
2024-04-11,1.05
2024-04-12,0.89
2024-04-15,1.06
2024-04-16,0.71
2024-04-17,1.72
2024-04-18,0.91
2024-04-19,1.18
2024-04-22,1.05
2024-04-23,1.14
2024-04-24,1.07
2024-04-25,1.12
2024-04-26,1.21
2024-04-29,1.0
2024-04-30,1.09
2024-05-01,1.2
2024-05-02,1.04
2024-05-03,0.98
2024-05-06,2.86
2024-05-07,1.1
2024-05-08,1.11
2024-05-09,1.03
2024-05-10,0.98
2024-05-13,1.13
2024-05-14,1.17
2024-05-15,1.26
2024-05-16,0.77
2024-05-17,0.86
2024-05-20,1.48
2024-05-21,1.02
2024-05-22,1.04
2024-05-23,1.19
2024-05-24,1.28
2024-05-28,1.08
2024-05-29,1.15
2024-05-30,1.1
2024-05-31,0.94
2024-06-03,1.1
2024-06-04,0.88
2024-06-05,1.1
2024-06-06,2.07
2024-06-07,0.95
2024-06-10,1.21
2024-06-11,0.97
2024-06-12,0.45
2024-06-13,0.48
2024-06-14,1.5
2024-06-17,0.98
2024-06-18,0.97
2024-06-20,0.85
2024-06-21,0.81
2024-06-24,1.07
2024-06-25,1.11
2024-06-26,0.91
2024-06-27,0.94
2024-06-28,1.02
2024-07-01,1.15
2024-07-02,1.07
2024-07-03,0.96
2024-07-05,0.87
2024-07-08,1.1
2024-07-09,0.95
2024-07-10,0.84
2024-07-11,0.82
2024-07-12,0.84
2024-07-15,1.15
2024-07-16,0.87
2024-07-17,0.9
2024-07-18,0.74
2024-07-19,0.79
2024-07-22,0.9
2024-07-23,0.97
2024-07-24,1.01
2024-07-25,0.92
2024-07-26,1.06
2024-07-29,1.16
2024-07-30,0.96
2024-07-31,1.21
2024-08-01,1.05
2024-08-02,1.39
2024-08-05,1.32
2024-08-06,1.11
2024-08-07,1.33
2024-08-08,1.25
2024-08-09,1.03
2024-08-12,1.2
2024-08-13,1.36
2024-08-14,1.01
2024-08-15,1.19
2024-08-16,1.31
2024-08-19,0.83
2024-08-20,0.95
2024-08-21,0.87
2024-08-22,0.88
2024-08-23,1.46
2024-08-26,1.17
2024-08-27,1.06
2024-08-28,0.93
2024-08-29,1.0
2024-08-30,0.89
2024-09-03,0.78
2024-09-04,1.22
2024-09-05,1.32
2024-09-06,1.15
2024-09-09,1.35
2024-09-10,1.03
2024-09-11,0.99
2024-09-12,1.4
2024-09-13,1.1
